Código	Nome da Propriedade	Código SIGEF/SNCI	Município	Área_ha	Codigo Único	Lat	Lon
ANC0001	FAZENDA FENIX	9510309409095	Angical	992,6	9510309409095C	-11,875844	-44,536054
ANC0002	FAZENDA ATOLEIRO	3010190026660	Angical	3250,7	3010190026660B	-11,897495	-44,568251
ANC0003	FAZENDA SANTA BARBARA - GLEBA 02	3010190071967	Angical	801,6	3010190071967	-11,901987	-44,515837
ANC0004	FAZENDA ARCADA DO RIO  GRANDE	9510309409095	Angical	801,4	9510309409095D	-11,908236	-44,535331
ANC0005	FAZENDA ATOLEIRO	9510483108240	Angical	127,7	9510483108240	-11,914403	-44,595764
ANC0006	FAZENDA CASTELO II	9500332023204	Angical	104,0	9500332023204	-11,918190	-44,544981
ANC0007	FAZENDA MONTEIRO	9500680189612	Angical	112,6	9500680189612A	-11,922253	-44,492687
ANC0008	FAZENDA CASTELO	0000602176894	Angical	334,2	0000602176894A	-11,923335	-44,549119
ANC0009	FAZENDA MONTEIRO	9500680189612	Angical	125,1	9500680189612B	-11,924204	-44,481191
ANC0010	FAZENDA ARCADA DO RIO  GRANDE	9510309409095	Angical	300,3	9510309409095E	-11,925005	-44,519625
ANC0011	SITIO NOVA VISTA	9511100149238	Angical	84,8	9511100149238	-11,928289	-44,487507
ANC0012	FAZENDA SANTA LUZIA	9511025538240	Angical	109,0	9511025538240	-11,932084	-44,539594
ANC0013	FAZENDA BRAUNINHA	9511100143205	Angical	106,2	9511100143205	-11,933286	-44,495077
ANC0014	FAZENDA SAMPAIO	9511100145917	Angical	42,1	9511100145917	-11,935690	-44,489013
ANC0015	FAZENDA SANTA BARBARA	9500680189701	Angical	53,1	9500680189701	-11,936351	-44,482271
ANC0016	FAZENDA ATOLEIRO III	9510801206507	Angical	150,6	9510801206507	-11,936908	-44,602287
ANC0017	FAZENDA PORTO VELHO I	9511026108010	Angical	103,6	9511026108010A	-11,939606	-44,588319
ANC0018	FAZENDA CASTELO	0000602176894	Angical	184,0	0000602176894B	-11,940514	-44,557385
ANC0019	FAZENDA ATOLEIRO IV	9510802504579	Angical	150,9	9510802504579	-11,941772	-44,607808
ANC0020	FAZENDA BELA VISTA	9501149563336	Angical	97,7	9501149563336	-11,942068	-44,493004
ANC0021	FAZENDA PORTO VELHO I	9511026108010	Angical	30,2	9511026108010B	-11,942110	-44,595558
ANC0022	FAZENDA VÁRZEA MIMOSA	9502110674234	Angical	44,5	9502110674234	-11,942132	-44,480503
ANC0023	FAZENDA SÃO JOÃO	3010190094827	Angical	109,7	3010190094827	-11,943277	-44,567707
ANC0024	FAZENDA BAIXA DO JATOBÁ	9510993295095	Angical	157,2	9510993295095	-11,948283	-44,544443
ANC0025	FAZENDA ATOLEIRO V	9510804843770	Angical	100,6	9510804843770	-11,949940	-44,616194
ANC0026	FAZENDA SÃO JORGE	9501220691677	Angical	45,5	9501220691677	-11,951442	-44,469567
ANC0027	FAZENDA POÇO DA BARRIGUDA	9510134295385	Angical	276,1	9510134295385	-11,952179	-44,594815
ANC0028	FAZENDA ATOLEIRO	3010190026660	Angical	227,3	3010190026660C	-11,952360	-44,630825
ANC0029	FAZENDA 5 SALTOS	9501494974870	Angical	204,7	9501494974870	-11,954976	-44,459675
ANC0030	FAZENDA REAL	9502037716861	Angical	453,6	9502037716861	-11,956245	-44,512854
ANC0031	FAZENDA POÇO DO CAVADOR	9510302584401	Angical	171,0	9510302584401A	-11,958781	-44,609508
ANC0032	FAZENDA ATOLEIRO	3010190026660	Angical	330,9	3010190026660D	-11,958878	-44,643109
ANC0033	FAZENDA ATOLEIRO VII	9510728556774	Angical	244,2	9510728556774	-11,960374	-44,652477
ANC0034	FAZENDA PROGRESSO	9500682006205	Angical	1193,5	9500682006205	-11,960812	-44,688405
ANC0035	FAZENDA ATOLEIRO VI	9510728666871	Angical	244,2	9510728666871	-11,961262	-44,659212
ANC0036	FAZENDA POÇO DO CAVADOR	9510302584401	Angical	85,5	9510302584401B	-11,961341	-44,615869
ANC0037	FAZENDA ATOLEIRO	3010190026660	Angical	407,2	3010190026660E	-11,961444	-44,667573
ANC0038	FAZENDA MURICI	9511299386101	Angical	100,6	9511299386101	-11,962038	-44,543896
